Name,Price,Cpu,Ram,Storage,Display,Graphics
Laptop Cũ HP Elitebook 820 G3 - Intel Core i7,Liên Hệ,i7 - 6600U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop cũ HP Elitebook 840 G5 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude E5480 - Intel Core i7,7.190.000 đ,i7-7820HQ,8GB DDR4,SSD 256GB,14 Inch Full HD,Nvidia GT 930M
Macbook Pro Retina 13 inch 2016 - Intel Core i5 2.9GHz,Liên Hệ,i5 - 2.9Ghz,16GB Onmain,SSD 500GB,13.3'' Retina,Intel Iris Pro 550
Laptop Cũ Lenovo Thinkpad X270 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,12.5'' Full HD,Intel HD 520
Laptop Cũ HP Probook 430 G3 - Intel Core i5,Liên Hệ,i5-6200U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 520
Laptop Cũ Dell Latitude 3580 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB,SSD 256GB,15.6 Inch HD,Intel HD 620
Laptop Gaming Cũ Dell Inspiron G7 7588 - Intel Core i7,Liên Hệ,i7 - 8750H,8GB DDR4,SSD 240GB,"15.6"" Full HD",GTX 1060
Laptop Cũ Lenovo Thinkpad T480 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UD 620
Laptop Gaming Cũ Dell Inspiron G3 3579 - Intel Core i5,Liên Hệ,i5 - 8300H,8GB DDR4,SSD 256GB,15.6'' Full HD,Nvidia GTX 1050
Macbook Air 2017 13 inch cũ (i5 1.8Ghz/RAM 8GB/SSD 128GB),Liên Hệ,i5 - 1.7Ghz,8GB DDR3L,SSD 128GB,13.3 Inch HD+,Intel HD 600
Laptop Cũ Lenovo Thinkpad L460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 256GB,14 Inch HD,Intel HD Graphics
Laptop Cũ HP Notebook 14s cr2005tu - Intel Core i5,Liên Hệ,i5 - 10210U,8GB DDR4,SSD 240GB,14'' Full HD,Intel UHD Graphics
Laptop cũ Lenovo Thinkpad T460p - Intel Core i5,Liên Hệ,i5 - 6640HQ,8GB DDR4,SSD 240GB,"14"" Full HD",Intel UHD Graphics
Laptop Cũ HP EliteBook 840 G6 - Intel Core i5,Liên Hệ,i5 - 8365U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD Graphics
Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 5 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB LPDDR3,SSD 256GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude 5501 - Intel Core i7,Liên Hệ,Intel Core i7-9850H,16GB DDR5,SSD 256GB NVMe,15.6 inch Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 7380 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,"13.3"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude 5290 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 256GB,12.5 Inch HD,Intel HD 620
Macbook Pro 2015 13 inch Retina Cũ - Intel Core i7 3.1GHz,Liên Hệ,i7 - 3.1Ghz,16GB LPDDR3,SSD 256GB,13.3'' Retina,Intel Graphics 6100
Laptop Cũ Dell Precision 3530 - Intel Core i7,12.990.000 đ,i7 - 8750H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Nvidia P600
Laptop Cũ Dell Precision 5530 - Intel Core i5,Liên Hệ,i5 - 8300H,16GB DDR4,SSD 240GB,15.6'' Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 5590 - Intel Core i7,9.690.000 đ,i7 - 8650U,8GB DDR4,SSD 256GB,15.6 Inch FHD,Intel HD 620
Laptop Cũ Lenovo Thinkpad L570 - Intel Core i5,6.490.000 đ,i5 - 7200U,8GB DDR4,SSD 256GB,15.6 Inch HD,Intel UHD Graphics
Laptop Cũ Dell Latitude 7380 - Intel Core i7,7.390.000 đ,i7 - 6600U,8GB DDR4,SSD 240GB,13.3'' Full HD,Intel HD 520
Laptop Cũ Dell Precision M2800 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3L,SSD 256GB,"15.6"" Full HD",AMD W4170M
Laptop Cũ HP Elitebook 745 G3 - AMD A10,Liên Hệ,AMD A10,8GB PC3,SSD 256GB,14 Inch HD,AMD Radeon R6
Laptop cũ Lenovo Thinkpad Yoga  X1 Gen 1 - Intel Core i7,Liên Hệ,i7 - 6600U,16GB DDR3,SSD 240GB,14 Inch 2K,Intel HD 520
Laptop Cũ Dell Latitude 3350 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ Dell Latitude 3340 - Intel Core i3,Liên Hệ,i3 - 5005U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ HP Elitebook 820 G2 - Intel Core i7,Liên Hệ,i7 - 5600U,4GB DDR3,SSD 128GB,12.5 Inch HD,Intel HD 5500
Laptop Cũ Lenovo Thinkpad T460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,"14"" Full HD",Intel UHD 520
Laptop Cũ Lenovo Thinkpad X280 - Intel Core i5,Liên Hệ,i5 - 8350U,8GB DDR4,SSD 256GB,"12.5"" Full HD",Intel UHD 620
Macbook Air Cũ 13 inch 2017 - Intel Core i7 2.2 Ghz,Liên Hệ,i7 - 2.2GHz,8GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop Cũ Lenovo Thinkpad T480s - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 620
Laptop Cũ Macbook Pro 13 Retina 2013 - Intel Core i5,Liên Hệ,i5 2.4Ghz,16GB DDR4 onmain,SSD 256GB,13 inch Retina,Intel Iris 5100 Graphics
Laptop Cũ HP Folio Elitebook 1040 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,16GB Onmain,SSD 240GB,"14"" Full HD",Intel HD 520
Laptop Cũ Lenovo ThinkPad X260 - Intel Core i5,Liên Hệ,i5-6200U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop Workstation Cũ HP Zbook Studio G3 - Intel Xeon E3 1505,Liên Hệ,Xeon E3 1505M,8GB DDR4,SSD 256GB,"15.6"" Full HD",Quadro M1000
Laptop Cũ Dell Latitude 5285 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB on main,SSD 256GB,"12.5"" Full HD",Intel HD 620
Laptop Cũ HP Elitebook 820 G3 - Intel Core i7,Liên Hệ,i7 - 6600U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop cũ HP Elitebook 840 G5 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude E5480 - Intel Core i7,7.190.000 đ,i7-7820HQ,8GB DDR4,SSD 256GB,14 Inch Full HD,Nvidia GT 930M
Macbook Pro Retina 13 inch 2016 - Intel Core i5 2.9GHz,Liên Hệ,i5 - 2.9Ghz,16GB Onmain,SSD 500GB,13.3'' Retina,Intel Iris Pro 550
Laptop Cũ Lenovo Thinkpad X270 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,12.5'' Full HD,Intel HD 520
Laptop Cũ HP Probook 430 G3 - Intel Core i5,Liên Hệ,i5-6200U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 520
Laptop Cũ Dell Latitude 3580 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB,SSD 256GB,15.6 Inch HD,Intel HD 620
Laptop Gaming Cũ Dell Inspiron G7 7588 - Intel Core i7,Liên Hệ,i7 - 8750H,8GB DDR4,SSD 240GB,"15.6"" Full HD",GTX 1060
Laptop Cũ Lenovo Thinkpad T480 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UD 620
Laptop Gaming Cũ Dell Inspiron G3 3579 - Intel Core i5,Liên Hệ,i5 - 8300H,8GB DDR4,SSD 256GB,15.6'' Full HD,Nvidia GTX 1050
Macbook Air 2017 13 inch cũ (i5 1.8Ghz/RAM 8GB/SSD 128GB),Liên Hệ,i5 - 1.7Ghz,8GB DDR3L,SSD 128GB,13.3 Inch HD+,Intel HD 600
Laptop Cũ Lenovo Thinkpad L460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 256GB,14 Inch HD,Intel HD Graphics
Laptop Cũ HP Notebook 14s cr2005tu - Intel Core i5,Liên Hệ,i5 - 10210U,8GB DDR4,SSD 240GB,14'' Full HD,Intel UHD Graphics
Laptop cũ Lenovo Thinkpad T460p - Intel Core i5,Liên Hệ,i5 - 6640HQ,8GB DDR4,SSD 240GB,"14"" Full HD",Intel UHD Graphics
Laptop Cũ HP EliteBook 840 G6 - Intel Core i5,Liên Hệ,i5 - 8365U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD Graphics
Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 5 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB LPDDR3,SSD 256GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude 5501 - Intel Core i7,Liên Hệ,Intel Core i7-9850H,16GB DDR5,SSD 256GB NVMe,15.6 inch Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 7380 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,"13.3"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude 5290 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 256GB,12.5 Inch HD,Intel HD 620
Macbook Pro 2015 13 inch Retina Cũ - Intel Core i7 3.1GHz,Liên Hệ,i7 - 3.1Ghz,16GB LPDDR3,SSD 256GB,13.3'' Retina,Intel Graphics 6100
Laptop Cũ Dell Precision 3530 - Intel Core i7,12.990.000 đ,i7 - 8750H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Nvidia P600
Laptop Cũ Dell Precision 5530 - Intel Core i5,Liên Hệ,i5 - 8300H,16GB DDR4,SSD 240GB,15.6'' Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 5590 - Intel Core i7,9.690.000 đ,i7 - 8650U,8GB DDR4,SSD 256GB,15.6 Inch FHD,Intel HD 620
Laptop Cũ Lenovo Thinkpad L570 - Intel Core i5,6.490.000 đ,i5 - 7200U,8GB DDR4,SSD 256GB,15.6 Inch HD,Intel UHD Graphics
Laptop Cũ Dell Latitude 7380 - Intel Core i7,7.390.000 đ,i7 - 6600U,8GB DDR4,SSD 240GB,13.3'' Full HD,Intel HD 520
Laptop Cũ Dell Precision M2800 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3L,SSD 256GB,"15.6"" Full HD",AMD W4170M
Laptop Cũ HP Elitebook 745 G3 - AMD A10,Liên Hệ,AMD A10,8GB PC3,SSD 256GB,14 Inch HD,AMD Radeon R6
Laptop cũ Lenovo Thinkpad Yoga  X1 Gen 1 - Intel Core i7,Liên Hệ,i7 - 6600U,16GB DDR3,SSD 240GB,14 Inch 2K,Intel HD 520
Laptop Cũ Dell Latitude 3350 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ Dell Latitude 3340 - Intel Core i3,Liên Hệ,i3 - 5005U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ HP Elitebook 820 G2 - Intel Core i7,Liên Hệ,i7 - 5600U,4GB DDR3,SSD 128GB,12.5 Inch HD,Intel HD 5500
Laptop Cũ Lenovo Thinkpad T460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,"14"" Full HD",Intel UHD 520
Laptop Cũ Lenovo Thinkpad X280 - Intel Core i5,Liên Hệ,i5 - 8350U,8GB DDR4,SSD 256GB,"12.5"" Full HD",Intel UHD 620
Macbook Air Cũ 13 inch 2017 - Intel Core i7 2.2 Ghz,Liên Hệ,i7 - 2.2GHz,8GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop Cũ Lenovo Thinkpad T480s - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 620
Laptop Cũ Macbook Pro 13 Retina 2013 - Intel Core i5,Liên Hệ,i5 2.4Ghz,16GB DDR4 onmain,SSD 256GB,13 inch Retina,Intel Iris 5100 Graphics
Laptop Cũ HP Folio Elitebook 1040 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,16GB Onmain,SSD 240GB,"14"" Full HD",Intel HD 520
Laptop Cũ Lenovo ThinkPad X260 - Intel Core i5,Liên Hệ,i5-6200U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop Workstation Cũ HP Zbook Studio G3 - Intel Xeon E3 1505,Liên Hệ,Xeon E3 1505M,8GB DDR4,SSD 256GB,"15.6"" Full HD",Quadro M1000
Laptop Cũ Dell Latitude 5285 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB on main,SSD 256GB,"12.5"" Full HD",Intel HD 620
Laptop Cũ HP Elitebook 820 G3 - Intel Core i7,Liên Hệ,i7 - 6600U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop cũ HP Elitebook 840 G5 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude E5480 - Intel Core i7,7.190.000 đ,i7-7820HQ,8GB DDR4,SSD 256GB,14 Inch Full HD,Nvidia GT 930M
Macbook Pro Retina 13 inch 2016 - Intel Core i5 2.9GHz,Liên Hệ,i5 - 2.9Ghz,16GB Onmain,SSD 500GB,13.3'' Retina,Intel Iris Pro 550
Laptop Cũ Lenovo Thinkpad X270 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,12.5'' Full HD,Intel HD 520
Laptop Cũ HP Probook 430 G3 - Intel Core i5,Liên Hệ,i5-6200U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 520
Laptop Cũ Dell Latitude 3580 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB,SSD 256GB,15.6 Inch HD,Intel HD 620
Laptop Gaming Cũ Dell Inspiron G7 7588 - Intel Core i7,Liên Hệ,i7 - 8750H,8GB DDR4,SSD 240GB,"15.6"" Full HD",GTX 1060
Laptop Cũ Lenovo Thinkpad T480 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UD 620
Laptop Gaming Cũ Dell Inspiron G3 3579 - Intel Core i5,Liên Hệ,i5 - 8300H,8GB DDR4,SSD 256GB,15.6'' Full HD,Nvidia GTX 1050
Macbook Air 2017 13 inch cũ (i5 1.8Ghz/RAM 8GB/SSD 128GB),Liên Hệ,i5 - 1.7Ghz,8GB DDR3L,SSD 128GB,13.3 Inch HD+,Intel HD 600
Laptop Cũ Lenovo Thinkpad L460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 256GB,14 Inch HD,Intel HD Graphics
Laptop Cũ HP Notebook 14s cr2005tu - Intel Core i5,Liên Hệ,i5 - 10210U,8GB DDR4,SSD 240GB,14'' Full HD,Intel UHD Graphics
Laptop cũ Lenovo Thinkpad T460p - Intel Core i5,Liên Hệ,i5 - 6640HQ,8GB DDR4,SSD 240GB,"14"" Full HD",Intel UHD Graphics
Laptop Cũ HP EliteBook 840 G6 - Intel Core i5,Liên Hệ,i5 - 8365U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD Graphics
Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 5 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB LPDDR3,SSD 256GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude 5501 - Intel Core i7,Liên Hệ,Intel Core i7-9850H,16GB DDR5,SSD 256GB NVMe,15.6 inch Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 7380 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,"13.3"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude 5290 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 256GB,12.5 Inch HD,Intel HD 620
Macbook Pro 2015 13 inch Retina Cũ - Intel Core i7 3.1GHz,Liên Hệ,i7 - 3.1Ghz,16GB LPDDR3,SSD 256GB,13.3'' Retina,Intel Graphics 6100
Laptop Cũ Dell Precision 3530 - Intel Core i7,12.990.000 đ,i7 - 8750H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Nvidia P600
Laptop Cũ Dell Precision 5530 - Intel Core i5,Liên Hệ,i5 - 8300H,16GB DDR4,SSD 240GB,15.6'' Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 5590 - Intel Core i7,9.690.000 đ,i7 - 8650U,8GB DDR4,SSD 256GB,15.6 Inch FHD,Intel HD 620
Laptop Cũ Lenovo Thinkpad L570 - Intel Core i5,6.490.000 đ,i5 - 7200U,8GB DDR4,SSD 256GB,15.6 Inch HD,Intel UHD Graphics
Laptop Cũ Dell Latitude 7380 - Intel Core i7,7.390.000 đ,i7 - 6600U,8GB DDR4,SSD 240GB,13.3'' Full HD,Intel HD 520
Laptop Cũ Dell Precision M2800 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3L,SSD 256GB,"15.6"" Full HD",AMD W4170M
Laptop Cũ HP Elitebook 745 G3 - AMD A10,Liên Hệ,AMD A10,8GB PC3,SSD 256GB,14 Inch HD,AMD Radeon R6
Laptop cũ Lenovo Thinkpad Yoga  X1 Gen 1 - Intel Core i7,Liên Hệ,i7 - 6600U,16GB DDR3,SSD 240GB,14 Inch 2K,Intel HD 520
Laptop Cũ Dell Latitude 3350 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ Dell Latitude 3340 - Intel Core i3,Liên Hệ,i3 - 5005U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ HP Elitebook 820 G2 - Intel Core i7,Liên Hệ,i7 - 5600U,4GB DDR3,SSD 128GB,12.5 Inch HD,Intel HD 5500
Laptop Cũ Lenovo Thinkpad T460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,"14"" Full HD",Intel UHD 520
Laptop Cũ Lenovo Thinkpad X280 - Intel Core i5,Liên Hệ,i5 - 8350U,8GB DDR4,SSD 256GB,"12.5"" Full HD",Intel UHD 620
Macbook Air Cũ 13 inch 2017 - Intel Core i7 2.2 Ghz,Liên Hệ,i7 - 2.2GHz,8GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop Cũ Lenovo Thinkpad T480s - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 620
Laptop Cũ Macbook Pro 13 Retina 2013 - Intel Core i5,Liên Hệ,i5 2.4Ghz,16GB DDR4 onmain,SSD 256GB,13 inch Retina,Intel Iris 5100 Graphics
Laptop Cũ HP Folio Elitebook 1040 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,16GB Onmain,SSD 240GB,"14"" Full HD",Intel HD 520
Laptop Cũ Lenovo ThinkPad X260 - Intel Core i5,Liên Hệ,i5-6200U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop Workstation Cũ HP Zbook Studio G3 - Intel Xeon E3 1505,Liên Hệ,Xeon E3 1505M,8GB DDR4,SSD 256GB,"15.6"" Full HD",Quadro M1000
Laptop Cũ Dell Latitude 5285 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB on main,SSD 256GB,"12.5"" Full HD",Intel HD 620
Laptop Cũ HP Elitebook 820 G3 - Intel Core i7,Liên Hệ,i7 - 6600U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop cũ HP Elitebook 840 G5 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude E5480 - Intel Core i7,7.190.000 đ,i7-7820HQ,8GB DDR4,SSD 256GB,14 Inch Full HD,Nvidia GT 930M
Macbook Pro Retina 13 inch 2016 - Intel Core i5 2.9GHz,Liên Hệ,i5 - 2.9Ghz,16GB Onmain,SSD 500GB,13.3'' Retina,Intel Iris Pro 550
Laptop Cũ Lenovo Thinkpad X270 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,12.5'' Full HD,Intel HD 520
Laptop Cũ HP Probook 430 G3 - Intel Core i5,Liên Hệ,i5-6200U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 520
Laptop Cũ Dell Latitude 3580 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB,SSD 256GB,15.6 Inch HD,Intel HD 620
Laptop Gaming Cũ Dell Inspiron G7 7588 - Intel Core i7,Liên Hệ,i7 - 8750H,8GB DDR4,SSD 240GB,"15.6"" Full HD",GTX 1060
Laptop Cũ Lenovo Thinkpad T480 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UD 620
Laptop Gaming Cũ Dell Inspiron G3 3579 - Intel Core i5,Liên Hệ,i5 - 8300H,8GB DDR4,SSD 256GB,15.6'' Full HD,Nvidia GTX 1050
Laptop Cũ HP Elitebook X360 830 G7 2 in 1 - Intel Core i7 10810U | 13.3 Inch Full HD,13.990.000 đ,i7 - 10810U,8GB DDR4,SSD 256GB,"13.3"" Full HD",Intel UHD 620
Laptop Cũ HP Elitebook 850 G7 - Intel Core i7-10610U | 16GB RAM | 15.6 Inch Full HD,Liên Hệ,i7 - 10610U,16GB DDR4,SSD 512GB,15.6 inch Full HD,Intel UHD Graphics
Laptop Cũ Dell Latitude 5501 - Intel Core i5 | 15.6 inch Full HD,Liên Hệ,i5-9400H,8GB DDR4,SSD 256GB,"15.6"" Full HD",UHD Graphics
Laptop Cũ Dell Latitude 5401 - Intel Core i5-9400H | 14 inch Full HD,Liên Hệ,i5 - 9400H,8GB DDR4,SSD 256GB,14 Inch Full HD,UHD Graphics 630
Laptop Cũ Dell Vostro 15 5515 R1505A - AMD Ryzen 5-5500U | 15.6 Inch Full HD,Liên Hệ,AMD R5-5500U,8GB DDR4,SSD 256GB NVMe,"15.6"" Full HD",AMD Radeon Graphics
Laptop Cũ HP Elitebook 745 G5 - AMD Ryzen 7,Liên Hệ,AMD R7 - 2700U,16GB DDR4,SSD 256GB,"14"" Full HD",AMD Radeon Vega
Laptop Cũ Workstation HP Zbook 15 G5 - Intel Core i7-8850H | Quadro P2000,Liên Hệ,Intel Core i7-8850H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro P2000
Laptop Cũ Lenovo Thinkpad T490 - Intel Core i7,Liên Hệ,i7 - 8560U,16GB DDR4,SSD 256GB,"14"" Full HD",Intel UD 620
Laptop Cũ HP Probook 650 G3 - Intel Core i7 7820HQ | 15.6 Inch Full HD,Liên Hệ,i7 - 7820HQ,8GB DDR4,SSD 240GB,"15.6"" Full HD",Intel HD 630
Laptop Cũ Lenovo Thinkpad T580 - Intel Core i5 8250U | 15.6 Inch Full HD,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 240GB,"15.6"" Full HD",Intel HD 620
Laptop Cũ Lenovo Thinkpad L580 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel UHD 620
Laptop Dell XPS 15 9520 (2022) - Intel Core i9-12900HK | RAM 32GB | Nvidia RTX 3050Ti | 15.6 Inch 3.5K,Liên Hệ,i9 - 12900HK,32GB DDR4,SSD 1TB NVMe,"15.6"" 3.5K",Nvidia RTX 3050Ti
Laptop Cũ Lenovo E41-55 - AMD Ryzen 5-3500U | 14 Inch Full HD,Liên Hệ,R5 -3500U,8GB DDR4,SSD 256GB,"14"" Full HD",AMD Vega 8
Laptop Cũ HP Elitebook 850 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 256GB,15.6 Inch HD,Intel HD 520
Laptop cũ Lenovo Thinkpad T470p - Intel Core i5,Liên Hệ,i5 - 7440HQ,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Cũ Lenovo Thinkpad P1 Gen 2 - Intel Core i7 9850H,Liên Hệ,i7 - 9850H,16GB DDR4,SSD 512GB,"15.6"" 4K",Intel UHD 630
Laptop Cũ Lenovo Thinkpad P53  - Intel Core i9-9880H | RTX 4000,Liên Hệ,i9 - 9880H,32GB DDR4,SSD 1TB,15.6 Inch 4K,Nvidia RTX 4000
Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 8 - Intel Core i5,15.990.000 đ,i5 - 10310U,8GB DDR3,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Dell XPS 15 9570 - Intel Core i7 - 8750H | GTX 1050Ti,17.490.000 đ,i7 - 8750H,16GB DDR4,SSD 1TB,"15.6"" Full HD",Nvidia GTX 1050Ti
Laptop Cũ HP Elitebook 850 G5 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel HD 620
Laptop Cũ Dell Precision 7550 - Intel Core i7 10850H | Quadro T1000M,Liên Hệ,i7 - 10850H,16GB DDR4,SSD 256GB,"15.6"" Full HD",Quadro T1000M
Laptop Cũ Lenovo Thinkpad T570 - Intel Core i5,7.290.000 đ,i5 - 6200U,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel HD 520
Laptop Cũ Dell Latitude 5510 - Intel Core i5,Liên Hệ,i5 - 10310U,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel UHD 620
Laptop Cũ Dell Latitude 5500 - Intel Core i5,Liên Hệ,i5 - 8350U,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel UHD 620
Laptop Cũ Dell Latitude 7310 - Intel Core i5,Liên Hệ,i5 - 10310U,16GB DDR4,SSD 256GB,"13.3"" Full HD",Intel UHD Graphics
Laptop Cũ Dell Latitude E7240 - Intel Core i3,Liên Hệ,i3 - 4005U,4GB DDR3L,SSD 128GB,12.5 Inch HD,Intel HD 4400
Laptop Cũ HP Elitebook 725 G3 - AMD A8,Liên Hệ,AMD A8 - 8600B,4GB DDR3,SSD 128GB,12.5 Inch HD,AMD Vega Radeon
Laptop Cũ Dell Latitude 3410 - Intel Core i5,Liên Hệ,i5 - 10210U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UHD 620
Laptop Cũ Lenovo Thinkpad T470s - Intel Core i7,Liên Hệ,i7 - 7600U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UHD 520
Laptop Cũ Dell Precision 7540 - Intel Core i9,Liên Hệ,i9 - 9880H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro T1000
Laptop Cũ HP Probook 640 G2 - Intel Core i7,5.990.000 đ,i7 - 6600U,8GB DDR4,SSD 256GB,14 Inch HD,Intel HD 520
Laptop Cũ Lenovo Yoga 9 14ITL5 - Intel Core i7 | Gold,Liên Hệ,i7 - 1185G7,8GB DDR4L,SSD 512GB,"14"" Full HD, sRGB",Intel Xe Graphics
Laptop Cũ Dell Precision 7530 - Intel Core i9,Liên Hệ,i9 - 8950HK,16GB DDR4,SSD 512GB,"15.6"" Full HD",Quadro P2000M
